Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44
1.5676907872790962,0.688603852746635,-0.22346548374799766,-0.860063316044364,-0.8734140366423505,1.0,0.3765085149458373,1.3685532048973492,0.66868685229002,1.6666666666666667,1.5,0.18519558233555758,-0.12823983660060745,-0.04293517661793187,-0.6923076923076923,0.16666666666666666,0.2517985611510791,0.0,0.0,-0.026401289860688508,-0.24055098900273994,-0.7777777777777778,-0.9166666666666666,2.6666666666666665,-0.04188221203675981,-0.3567920280843159,-1.4170968756336395,0.2978723404255319,-0.048334352134303676,-0.03844308810507136,-0.05799602077938606,-0.24496469557416448,-0.1876213634621066,0.0,-0.717948717948718,-0.8181818181818182,-0.2,-1.4670008206517446,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.6419155082755919,0.21290972585536674,-0.22346548374799766,-0.8476889368189234,-0.8730649596984171,0.0,0.1316999284604723,0.5690707922099333,0.2167391654829719,1.6666666666666667,1.5,0.31497652578329405,-0.13326863264760902,-0.020963575833064976,-0.6923076923076923,0.16666666666666666,0.2517985611510791,0.0,0.0,-0.026401289860688508,-0.24055098900273994,-0.6666666666666666,-0.9166666666666666,2.6666666666666665,-0.04188221203675981,-0.3567920280843159,-1.4170968756336395,0.2978723404255319,-0.048334352134303676,-0.03844308810507136,-0.05799602077938606,-0.24496469557416448,-0.1876213634621066,0.08333333333333333,-0.6153846153846154,-0.8181818181818182,-0.2,-0.7270429597789994,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.14397942306553735,-0.12852434490439335,-0.22346548374799766,-0.8440838189964269,-0.8728252307138933,0.0,-0.09389163968142619,-0.17048850792877113,-0.1378269134209286,1.6666666666666667,1.5,0.38004553956074394,-0.1478811142445051,-0.009947548701478655,-0.6923076923076923,0.16666666666666666,0.2517985611510791,0.0,0.0,-0.026401289860688508,-0.24055098900273994,-0.5555555555555556,-0.9166666666666666,2.6666666666666665,-0.04188221203675981,-0.3567920280843159,-1.4170968756336395,0.2978723404255319,-0.048334352134303676,-0.03844308810507136,-0.05799602077938606,-0.24496469557416448,-0.1876213634621066,0.16666666666666666,-0.5128205128205128,-0.8181818181818182,-0.2,-0.039822697176448096,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.5231457156974394,-0.28940644989195635,-0.22346548374799766,-0.8182485780667971,-0.8705059130381949,0.0,-0.2102385153433168,-0.5476126205664175,-0.3146289577069102,1.6666666666666667,1.5,0.4533721233163207,-0.17748868511277832,0.0024664651159230994,-0.6923076923076923,0.16666666666666666,0.2517985611510791,0.0,0.0,651.9968393561276,-0.24055098900273994,-0.1111111111111111,-0.9166666666666666,2.6666666666666665,-0.04188221203675981,-0.3567920280843159,-1.4170968756336395,0.2978723404255319,-0.048332584022127215,-0.03844308810507136,-0.05791461444734413,-0.24496469557416448,-0.18710886209597827,0.5,-0.10256410256410256,-0.8181818181818182,-0.2,0.3146051349624646,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.6978985316467533,-0.3500044557850183,-0.22346548374799766,-0.8549919988036099,-0.8707241437135068,0.0,-0.25798652621869717,-0.7236494350688036,-0.3829459301537719,1.6666666666666667,1.5,0.4713697999674896,-0.19273910174284514,0.005513428375161902,-0.6923076923076923,0.16666666666666666,0.2517985611510791,0.0,0.0,616.9539677551896,-0.24055098900273994,0.0,-0.9166666666666666,2.6666666666666665,-0.04188221203675981,-0.3567920280843159,-1.4170968756336395,0.2978723404255319,-0.048332584022127215,-0.03844308810507136,-0.05791461444734413,-0.24496469557416448,-0.18707905769098404,0.5833333333333334,0.0,-0.8181818181818182,-0.2,0.46006004199998535,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.7099865362894404,-0.3580091229945923,-0.22346548374799766,-0.84636189444152,-0.8708468285439329,1.0,-0.2640217147441468,-0.7366419082323814,-0.39204260101132143,1.6666666666666667,1.5,0.48763625634911234,-0.20642300853747247,0.008267300217258636,-0.6923076923076923,0.16666666666666666,0.2517985611510791,0.0,0.0,585.1770010798502,-0.24055098900273994,0.1111111111111111,-0.9166666666666666,2.6666666666666665,-0.04188221203675981,-0.3567920280843159,-1.4170968756336395,0.2978723404255319,-0.048332584022127215,-0.03844308810507136,-0.05791461444734413,-0.24496469557416448,-0.18704920161535077,0.6666666666666666,0.10256410256410256,-0.8181818181818182,-0.2,0.4789170345578918,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.7243883957840027,-0.36601998144810266,-0.22346548374799766,-0.8423791790626063,-0.8709293892944495,0.0,-0.27022362118466414,-0.7518604254750125,-0.4011633674140353,1.6666666666666667,1.5,0.502123668696838,-0.21873198201856833,0.010719984194226007,-0.6923076923076923,0.16666666666666666,0.2517985611510791,0.0,0.0,556.4605984487052,-0.24055098900273994,0.2222222222222222,-0.9166666666666666,2.6666666666666665,-0.04188221203675981,-0.3567920280843159,-1.4170968756336395,0.2978723404255319,-0.048332584022127215,-0.03844308810507136,-0.05791461444734413,-0.24496469557416448,-0.18701939057331046,0.75,0.20512820512820512,-0.8181818181818182,-0.2,0.4973379406611378,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.8353278923675522,-0.3964977985238544,-0.22346548374799766,-0.8530150832236173,-0.8710697743088734,0.0,-0.29538691183221094,-0.8636096283388863,-0.4360207305049998,1.6666666666666667,1.5,0.5093928808783554,-0.23052065509207006,0.011950644288303001,-0.6923076923076923,0.16666666666666666,0.2517985611510791,0.0,0.0,529.1255147843415,-0.24055098900273994,0.3333333333333333,-0.9166666666666666,2.6666666666666665,-0.04188221203675981,-0.3567920280843159,-1.4170968756336395,0.2978723404255319,-0.048332584022127215,-0.03844308810507136,-0.05791461444734413,-0.24496469557416448,-0.18698777442160863,0.8333333333333334,0.3076923076923077,-0.8181818181818182,-0.2,0.5739929475356598,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.8126597773987014,-0.3928761061325233,-0.22346548374799766,-0.8271875542456841,-0.8711039561153665,0.0,-0.2922526150289388,-0.8412395884966958,-0.43186555771835555,1.6666666666666667,1.5,0.5175611798296922,-0.24102278975342575,0.013333517604542166,-0.6923076923076923,0.16666666666666666,0.2517985611510791,0.0,0.0,504.46034693245696,-0.24055098900273994,0.4444444444444444,-0.9166666666666666,2.6666666666666665,-0.04188221203675981,-0.3567920280843159,-1.4170968756336395,0.2978723404255319,-0.048332584022127215,-0.03844308810507136,-0.05791461444734413,-0.24496469557416448,-0.18695667420657533,0.9166666666666666,0.41025641025641024,-0.8181818181818182,-0.2,0.5644449298949288,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.8281051948726217,-0.3978974802822607,-0.22346548374799766,-0.8681968896085519,-0.87127774537609,1.0,-0.2963761047949458,-0.8570027948993966,-0.43762753439012125,1.6666666666666667,1.5,0.5245466376760534,-0.2506575519901312,0.01451613877389414,-0.6923076923076923,0.16666666666666666,0.2517985611510791,0.0,0.0,482.23457109745857,-0.24055098900273994,0.5555555555555556,-0.9166666666666666,2.6666666666666665,-0.04188221203675981,-0.3567920280843159,-1.4170968756336395,0.2978723404255319,-0.048332584022127215,-0.03844308810507136,-0.05791461444734413,-0.24496469557416448,-0.18692533060515967,1.0,0.5128205128205128,-0.8181818181818182,-0.2,0.5772090157571845,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
